volatility,simulations,mean,variance,VaR_95
0.1,100,105.84515048841135,107.02613072850012,89.42556997148527
0.1,500,105.31850746418804,116.07329632557212,88.03743345626009
0.1,1000,105.37838954154188,111.64909872464798,89.11407484765073
0.1,5000,105.0260946162607,114.05574807113902,88.56418214792102
0.2,100,107.12010965351759,351.21896337581643,77.76533815964196
0.2,500,105.29914079664694,500.13573321660385,72.67867883022923
0.2,1000,104.47384782003721,425.34857883475246,74.44251612890396
0.2,5000,105.10254109274852,442.1015678441343,74.37794856936682
0.4,100,100.45347366210036,1162.7815878053125,56.21382845830475
0.4,500,107.10592868967629,2018.610780480361,51.39998783195286
0.4,1000,107.40813607117275,1995.931193342456,51.104078202074405
0.4,5000,104.08803349378147,1858.4488620865247,50.40609379357761
